Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
B_MTX_Metformin.ADE17_HYR1,87141,86057,98.75603906312757,328
B_MTX_Metformin.ERG27_ACF2,251587,248379,98.72489437053585,337
B_MTX_Metformin.ERG11_ERG5,111512,110213,98.8351029485616,334
B_MTX_Metformin.RET2_EMP70,82973,82131,98.98521205693417,317
B_MTX_Metformin.ERV25_EMP47,227507,225169,98.97233931263654,349
B_MTX_Metformin.DHH1_LSM3,562455,552164,98.17034251629019,360
B_MTX_Metformin.ERG11_MID2,126729,125638,99.13910786007938,326
B_MTX_Metformin.SSH1_ORM2,233628,229047,98.03919050798706,345
B_MTX_Metformin.SNA4_VAC8,68723,67053,97.56995474586382,327
B_MTX_Metformin.PLM2_HNM1,142614,141489,99.21115738987757,310
B_MTX_Metformin.ERG11_TPO4,105064,104257,99.23189674864844,320
B_MTX_Metformin.HNM1_RBD2,84113,82762,98.39382735130123,311
B_MTX_Metformin.SSH1_ERV25,94866,93858,98.93744861172601,328
B_MTX_Metformin.SNA4_GTR2,492391,480541,97.59337599590569,361
B_MTX_Metformin.RET2_SNA3,71407,70658,98.95108322713459,324
B_MTX_Metformin.HUG1_PGM2,181587,177938,97.99049491428352,342
B_MTX_Metformin.HNM1_ERG11,91901,90246,98.19914908434075,315
B_MTX_Metformin.MID2_TPO2,242260,238407,98.40955997688434,341
B_MTX_Metformin.SRO9_GIS2,90990,89866,98.76469941751841,321
B_MTX_Metformin.ERG11_ORM2,120669,119775,99.25913034830818,327
B_MTX_Metformin.RET2_EMP47,86076,85535,99.37148566383196,296
B_MTX_Metformin.TPO1_MID2,262576,257942,98.23517762476388,330
B_MTX_Metformin.HUG1_ALO1,344493,338506,98.26208369981393,356
B_MTX_Metformin.PMC1_GTR2,83957,82804,98.62667794227997,329
B_MTX_Metformin.HNM1_TPO1,65786,64264,97.68643784391816,345
B_MTX_Metformin.SSH1_PIS1,343167,338324,98.58873376519304,354
B_MTX_Metformin.SSH1_ERG11,180732,178020,98.49943562844433,336
B_MTX_Metformin.ERG11_ACF2,353620,350591,99.14343080142525,348
B_MTX_Metformin.GTR1_SLM4,67430,66277,98.29007860002966,344
B_MTX_Metformin.SRO9_SGN1,657418,645032,98.11596275124806,361
B_MTX_Metformin.HNM1_MID2,150917,149134,98.81855589496213,335
B_MTX_Metformin.ERV25_RBD2,72897,69137,94.84203739522889,343
B_MTX_Metformin.ALO1_HYR1,220510,216208,98.04906806947531,336
B_MTX_Metformin.ERV25_ORM2,456671,450909,98.73826014789641,360
B_MTX_Metformin.ERG11_HYR1,510111,505244,99.04589393288911,361
B_MTX_Metformin.HNM1_TPO4,123634,122425,99.02211365805523,324
B_MTX_Metformin.SRO9_DHH1,73265,72201,98.54773766464206,347
B_MTX_Metformin.FMP45_MID2,106220,104683,98.55300320090379,299
B_MTX_Metformin.PLM2_SNA3,53664,49781,92.76423673225999,265
B_MTX_Metformin.MID2_RSN1,191120,188499,98.62861029719548,326
B_MTX_Metformin.FMP45_MEP1,72940,71600,98.1628735947354,328
B_MTX_Metformin.HUG1_ADE17,228317,223343,97.82145000153297,347
B_MTX_Metformin.ERG11_PIS1,131718,129981,98.68127363002779,344
B_MTX_Metformin.PMC1_CTR2,63720,62725,98.43848085373509,331
B_MTX_Metformin.TPO1_TPO2,71723,70650,98.50396664947088,328
B_MTX_Metformin.ADE17_GIS2,87602,86307,98.52172324832766,325
B_MTX_Metformin.ERV25_PIS1,94359,93507,99.09706546275395,327
B_MTX_Metformin.HNM1_TPO2,100452,98488,98.0448373352447,328
B_MTX_Metformin.MID2_MAM33,63404,62693,98.87861964544824,307
B_MTX_Metformin.ALO1_UIP4,85769,84680,98.73031048514032,319
B_MTX_Metformin.FMP45_HNM1,115116,113895,98.93933076201397,303
B_MTX_Metformin.ALO1_ADE17,128583,127859,99.4369395643281,287
B_MTX_Metformin.noPPI_reference,314793,310430,98.61400984138783,357
B_MTX_Metformin.TPO1_TCB2,64761,64145,99.0488102407313,302
B_MTX_Metformin.HNM1_MAM33,75441,74122,98.25161384393101,327
B_MTX_Metformin.MID2_TPO4,224410,221521,98.71262421460719,342
B_MTX_Metformin.ADE17_PGM2,231715,229656,99.11140841119479,292
B_MTX_Metformin.MID2_WSC2,54363,53819,98.9993193900263,279
B_MTX_Metformin.ERG11_ERV25,84200,82856,98.40380047505938,333
B_MTX_Metformin.ERV25_ERG5,342651,339255,99.00890410359229,357
B_MTX_Metformin.ERV25_UIP4,117434,115741,98.55833915220464,350
B_MTX_Metformin.MID2_PIN2,154434,152175,98.53723920898247,348
