Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
B_noMTX_Fluconazole.ERV25_EMP47,94417,93132,98.63901627884809,341
B_noMTX_Fluconazole.ERG11_ACF2,111216,109894,98.81132211192633,328
B_noMTX_Fluconazole.HNM1_ERG11,62842,62168,98.92746889023265,318
B_noMTX_Fluconazole.SSH1_ERG11,76291,74917,98.19900119280125,332
B_noMTX_Fluconazole.HUG1_ALO1,237681,233206,98.11722434691877,360
B_noMTX_Fluconazole.ADE17_PGM2,19303,18795,97.36828472258198,330
B_noMTX_Fluconazole.ALO1_HYR1,136815,134788,98.51843730585097,343
B_noMTX_Fluconazole.DHH1_LSM3,317322,311606,98.19867516276842,360
B_noMTX_Fluconazole.noPPI_reference,55243,53788,97.36618214072371,345
B_noMTX_Fluconazole.MID2_PIN2,57431,56469,98.32494645748811,342
B_noMTX_Fluconazole.PLM2_HNM1,98178,96879,98.67689299028297,348
B_noMTX_Fluconazole.HNM1_TPO1,98477,96736,98.23207449455202,347
B_noMTX_Fluconazole.RET2_EMP47,40938,40547,99.04489716156138,299
B_noMTX_Fluconazole.SSH1_ORM2,42672,41738,97.81121109861267,301
B_noMTX_Fluconazole.MID2_MAM33,325348,322068,98.9918487281311,357
B_noMTX_Fluconazole.ERG11_ERV25,82228,80914,98.40200418348981,315
B_noMTX_Fluconazole.RET2_SNA3,45352,44863,98.92176750749691,314
B_noMTX_Fluconazole.SSH1_PIS1,49108,48608,98.98183595340882,322
B_noMTX_Fluconazole.ERG11_HYR1,58071,57568,99.13381894577327,315
B_noMTX_Fluconazole.SRO9_DHH1,139550,137960,98.86062343246148,343
B_noMTX_Fluconazole.SSH1_ERV25,121970,119174,97.70763302451422,346
B_noMTX_Fluconazole.ADE17_GIS2,84089,82933,98.62526608712197,344
B_noMTX_Fluconazole.FMP45_MID2,95935,94467,98.46979725856049,341
B_noMTX_Fluconazole.ERV25_UIP4,88751,87114,98.15551374069025,345
B_noMTX_Fluconazole.ERG27_ACF2,81020,79914,98.63490496173785,310
B_noMTX_Fluconazole.MID2_WSC2,133357,132269,99.18414481429546,329
B_noMTX_Fluconazole.SRO9_SGN1,92883,91535,98.54871182024698,342
B_noMTX_Fluconazole.GTR1_SLM4,61746,60991,98.77724872866258,337
B_noMTX_Fluconazole.HUG1_ADE17,36811,34156,92.78748200266224,348
B_noMTX_Fluconazole.SRO9_GIS2,102454,101190,98.76627559685322,330
B_noMTX_Fluconazole.SNA4_GTR2,84386,81842,96.9852819188017,340
B_noMTX_Fluconazole.PMC1_CTR2,91713,89845,97.9632113222771,348
B_noMTX_Fluconazole.MID2_RSN1,113768,113089,99.40317136628929,303
B_noMTX_Fluconazole.ALO1_UIP4,48219,47433,98.36993716169975,337
B_noMTX_Fluconazole.PLM2_SNA3,75711,74904,98.93410468756191,326
B_noMTX_Fluconazole.HNM1_TPO2,102821,100701,97.93816438276227,342
B_noMTX_Fluconazole.ERG11_MID2,72556,71687,98.80230442692542,332
B_noMTX_Fluconazole.ERV25_ERG5,82554,81411,98.61545170433898,332
B_noMTX_Fluconazole.HNM1_MAM33,84550,82829,97.9645180366647,343
B_noMTX_Fluconazole.SNA4_VAC8,76575,71406,93.24975514201763,331
B_noMTX_Fluconazole.HNM1_TPO4,109570,107381,98.00219038057863,347
B_noMTX_Fluconazole.ERG11_ERG5,161283,158953,98.55533441218232,350
B_noMTX_Fluconazole.ERG11_ORM2,30193,29672,98.27443447156625,334
B_noMTX_Fluconazole.FMP45_MEP1,79543,77678,97.65535622242058,349
B_noMTX_Fluconazole.HUG1_PGM2,9332,8831,94.63137591084441,314
B_noMTX_Fluconazole.TPO1_TPO2,63440,62672,98.78940731399749,325
B_noMTX_Fluconazole.RET2_EMP70,60395,59840,99.08104975577449,297
B_noMTX_Fluconazole.HNM1_RBD2,89235,87970,98.58239480024655,326
B_noMTX_Fluconazole.ERV25_ORM2,98322,97185,98.84359553304448,334
B_noMTX_Fluconazole.ERV25_PIS1,81743,80557,98.54911123888283,308
B_noMTX_Fluconazole.MID2_TPO4,129146,127180,98.4776919145773,348
B_noMTX_Fluconazole.PMC1_GTR2,124420,122341,98.32904677704549,348
B_noMTX_Fluconazole.FMP45_HNM1,103071,101004,97.9945862560759,336
B_noMTX_Fluconazole.ERG11_TPO4,96546,95838,99.26667080976944,332
B_noMTX_Fluconazole.ADE17_HYR1,175491,172651,98.38168339117107,360
B_noMTX_Fluconazole.ERG11_PIS1,90096,88704,98.45498135322323,346
B_noMTX_Fluconazole.TPO1_TCB2,46510,46071,99.05611696409375,309
B_noMTX_Fluconazole.MID2_TPO2,41742,40979,98.17210483445929,327
B_noMTX_Fluconazole.TPO1_MID2,51295,50475,98.40140364557949,306
B_noMTX_Fluconazole.ALO1_ADE17,137830,136409,98.96901980700864,337
B_noMTX_Fluconazole.ERV25_RBD2,301487,296274,98.27090388640306,356
B_noMTX_Fluconazole.HNM1_MID2,65553,64589,98.5294341982823,334
