ppi,drug,mtx,auc_average,auc_replicate_a,auc_replicate_b,auc_diff
GTR1:SLM4,NoDrug,0,0.7882690909090909,0.7808236363636363,0.7957145454545457,0.0148909090909093
GTR1:SLM4,NoDrug,10,0.608869090909091,0.6228600000000001,0.5948781818181819,0.0279818181818182
SNA4:GTR2,NoDrug,0,0.8060618181818182,0.8118163636363638,0.8003072727272729,0.0115090909090909
SNA4:GTR2,NoDrug,10,0.4129527272727273,0.3992345454545455,0.4266709090909091,0.0274363636363635
ERG11:HYR1,NoDrug,0,0.7704763636363637,0.7407763636363638,0.8001763636363638,0.0594
ERG11:HYR1,NoDrug,10,0.6691309090909092,0.6504490909090911,0.6878127272727275,0.0373636363636363
DHH1:LSM3,NoDrug,0,0.7909309090909094,0.7593218181818183,0.8225400000000002,0.0632181818181818
DHH1:LSM3,NoDrug,10,0.6071672727272729,0.5836854545454548,0.6306490909090912,0.0469636363636363
MID2:PIN2,NoDrug,0,0.7852472727272728,0.7560927272727272,0.8144018181818182,0.0583090909090909
MID2:PIN2,NoDrug,10,0.3318654545454546,0.2907109090909091,0.3730200000000001,0.0823090909090909
SRO9:SGN1,NoDrug,0,0.7734545454545456,0.7455,0.801409090909091,0.0559090909090909
SRO9:SGN1,NoDrug,10,0.5803636363636364,0.5638636363636363,0.5968636363636365,0.0330000000000001
ERV25:EMP47,NoDrug,0,0.749978181818182,0.7316236363636366,0.7683327272727274,0.0367090909090908
ERV25:EMP47,NoDrug,10,0.1507418181818182,0.1341327272727273,0.1673509090909091,0.0332181818181818
ERV25:ORM2,NoDrug,0,0.7444690909090912,0.7405145454545456,0.7484236363636366,0.0079090909090909
ERV25:ORM2,NoDrug,10,0.4991781818181819,0.4887327272727275,0.5096236363636366,0.0208909090909091
HNM1:ERG11,NoDrug,0,0.7988181818181816,0.8098090909090909,0.7878272727272728,0.0219818181818181
HNM1:ERG11,NoDrug,10,0.5080909090909091,0.5014090909090909,0.5147727272727274,0.0133636363636364
SNA4:VAC8,NoDrug,0,0.8007272727272728,0.7947000000000003,0.8067545454545455,0.0120545454545452
SNA4:VAC8,NoDrug,10,0.5206909090909092,0.4904454545454547,0.5509363636363638,0.060490909090909
ERG27:ACF2,NoDrug,0,0.8031163636363636,0.7911981818181819,0.8150345454545455,0.0238363636363635
ERG27:ACF2,NoDrug,10,0.1435527272727272,0.1419981818181818,0.1451072727272727,0.0031090909090909
HUG1:ADE17,NoDrug,0,0.7335709090909093,0.7131436363636365,0.753998181818182,0.0408545454545454
HUG1:ADE17,NoDrug,10,0.1451345454545455,0.143689090909091,0.14658,0.002890909090909
SRO9:DHH1,NoDrug,0,0.7420363636363636,0.7301181818181819,0.7539545454545455,0.0238363636363636
SRO9:DHH1,NoDrug,10,0.4767272727272729,0.4477909090909091,0.5056636363636365,0.0578727272727274
ALO1:HYR1,NoDrug,0,0.7000909090909092,0.6801,0.7200818181818182,0.0399818181818181
ALO1:HYR1,NoDrug,10,0.1812545454545455,0.1725,0.1900090909090909,0.0175090909090908
SSH1:ERG11,NoDrug,0,0.7499672727272727,0.7171581818181818,0.7827763636363637,0.0656181818181819
SSH1:ERG11,NoDrug,10,0.4296218181818182,0.4065763636363637,0.4526672727272728,0.046090909090909
ERV25:ERG5,NoDrug,0,0.653389090909091,0.6341072727272729,0.6726709090909092,0.0385636363636363
ERV25:ERG5,NoDrug,10,0.49848,0.4769072727272728,0.5200527272727273,0.0431454545454544
HNM1:MID2,NoDrug,0,0.7982181818181819,0.7648636363636364,0.8315727272727274,0.0667090909090909
HNM1:MID2,NoDrug,10,0.6816000000000002,0.6676636363636365,0.6955363636363637,0.0278727272727272
ERG11:PIS1,NoDrug,0,0.787909090909091,0.7885909090909091,0.7872272727272728,0.0013636363636363
ERG11:PIS1,NoDrug,10,0.6261818181818183,0.625718181818182,0.6266454545454546,0.0009272727272726
