PPI_1,PPI_2
ERG27:ACF2,TGL4:ACF2
ERG27:ACF2,SNA3:ACF2
ERG27:ACF2,ERG7:ERG27
ERG27:ACF2,ACF2:SEL1
ERG27:ACF2,YEH1:ERG27
ERG27:ACF2,FAT1:ERG27
ERG27:ACF2,EHT1:ACF2
ERG27:ACF2,ERG7:ACF2
ERG27:ACF2,ERG11:ACF2
ERG27:ACF2,SLC1:ACF2
ERG27:ACF2,FAT1:ACF2
ERG27:ACF2,SNA3:ERG27
ERG27:ACF2,TGL1:ACF2
FMP45:YJU3,FMP45:MEP1
FMP45:YJU3,FMP45:HNM1
FMP45:YJU3,FMP45:MID2
MID2:EFR3,ERG11:MID2
MID2:EFR3,PIN2:MID2
MID2:EFR3,TPO4:MID2
MID2:EFR3,RSN1:MID2
MID2:EFR3,TPO2:MID2
MID2:EFR3,HNM1:MID2
MID2:EFR3,WSC2:MID2
MID2:EFR3,MAM33:MID2
MID2:EFR3,FMP45:MID2
MID2:EFR3,TPO1:MID2
SFK1:MID2,ERG11:MID2
SFK1:MID2,PIN2:MID2
SFK1:MID2,TPO4:MID2
SFK1:MID2,RSN1:MID2
SFK1:MID2,TPO2:MID2
SFK1:MID2,HNM1:MID2
SFK1:MID2,WSC2:MID2
SFK1:MID2,MAM33:MID2
SFK1:MID2,FMP45:MID2
SFK1:MID2,TPO1:MID2
EMP70:RET2,RET2:RBD2
EMP70:RET2,AKR1:RET2
EMP70:RET2,ERP1:RET2
EMP70:RET2,RET2:RET3
EMP70:RET2,EMP47:RET2
EMP70:RET2,EMP70:BSC6
EMP70:RET2,ARF1:EMP70
EMP70:RET2,CHS3:RET2
EMP70:RET2,EMP70:YMR010W
EMP70:RET2,RET2:ERV29
EMP70:RET2,SNA3:RET2
EMP70:RET2,PLM2:RET2
EMP70:RET2,ARF1:RET2
EMP70:RET2,KEX1:EMP70
EMP70:RET2,RET2:YMR010W
EMP70:RET2,RET2:SUR1
EMP70:RET2,RET2:AUR1
EMP70:RET2,RET2:KEX1
EMP70:RET2,SFT2:RET2
PMC1:MEH1,PMC1:GTR2
PMC1:MEH1,PMC1:CTR2
TGL4:ACF2,ERG11:ACF2
CCW12:ORM2,ERV25:ORM2
CCW12:ORM2,ORM2:SSH1
CCW12:ORM2,ERG11:ORM2
EMP47:ERV41,EMP47:RET2
EMP47:ERV41,EMP47:ERV25
TPO1:PDR5,TPO1:HNM1
TPO1:PDR5,TPO1:TCB2
TPO1:PDR5,TPO2:TPO1
TPO1:PDR5,TPO1:MID2
HXT1:SNA3,SNA3:RET2
HXT1:SNA3,PLM2:SNA3
INO1:ADE17,ADE17:ALO1
INO1:ADE17,GIS2:ADE17
INO1:ADE17,PGM2:ADE17
INO1:ADE17,HYR1:ADE17
INO1:ADE17,HUG1:ADE17
CPT1:RBD2,RBD2:HNM1
CPT1:RBD2,ERV25:RBD2
ERP6:ERV25,ERG5:ERV25
ERP6:ERV25,SSH1:ERV25
ERP6:ERV25,ERV25:ORM2
ERP6:ERV25,ERV25:ERG11
ERP6:ERV25,ERV25:RBD2
ERP6:ERV25,EMP47:ERV25
ERP6:ERV25,ERV25:UIP4
ERP6:ERV25,PIS1:ERV25
RER2:PIS1,PIS1:SSH1
RER2:PIS1,PIS1:ERG11
RER2:PIS1,PIS1:ERV25
ERG26:ERV25,ERG5:ERV25
ERG26:ERV25,SSH1:ERV25
ERG26:ERV25,ERV25:ORM2
ERG26:ERV25,ERV25:ERG11
ERG26:ERV25,ERV25:RBD2
ERG26:ERV25,EMP47:ERV25
ERG26:ERV25,ERV25:UIP4
ERG26:ERV25,PIS1:ERV25
SRO9:PUF4,SGN1:SRO9
SRO9:PUF4,GIS2:SRO9
SRO9:PUF4,DHH1:SRO9
ADE17:ALO1,ADE17:EFT1
ADE17:ALO1,CWP2:ALO1
ADE17:ALO1,YPT32:ALO1
ADE17:ALO1,VMA8:ADE17
ADE17:ALO1,SKI8:ADE17
ADE17:ALO1,PHO13:ADE17
ADE17:ALO1,EHT1:ALO1
ADE17:ALO1,SAM35:ALO1
ADE17:ALO1,GSY2:ADE17
ADE17:ALO1,IML2:ALO1
ADE17:ALO1,YBL039W-A:ALO1
ADE17:ALO1,ALO1:PGM2
ADE17:ALO1,YPT31:ALO1
ADE17:ALO1,SEC4:ALO1
ADE17:ALO1,ADE17:SOL1
ADE17:ALO1,GIS2:ADE17
ADE17:ALO1,ALO1:KES1
ADE17:ALO1,ADE16:ADE17
ADE17:ALO1,ALO1:SNC2
ADE17:ALO1,ACB1:ALO1
ADE17:ALO1,DEF1:ADE17
ADE17:ALO1,PGM2:ADE17
ADE17:ALO1,YHR003C:ALO1
ADE17:ALO1,MCR1:ALO1
ADE17:ALO1,GTT1:ALO1
ADE17:ALO1,HYR1:ALO1
ADE17:ALO1,ADE17:SNC2
ADE17:ALO1,ACB1:ADE17
ADE17:ALO1,ADE17:YNL247W
ADE17:ALO1,SSL2:ALO1
ADE17:ALO1,MSP1:ALO1
ADE17:ALO1,ADE17:CAF20
ADE17:ALO1,GRE3:ALO1
ADE17:ALO1,FUN14:ALO1
ADE17:ALO1,HYR1:ADE17
ADE17:ALO1,ALO1:TOM70
ADE17:ALO1,TOM20:ALO1
ADE17:ALO1,ALO1:ADE4
ADE17:ALO1,PCK1:ALO1
ADE17:ALO1,DNM1:ALO1
ADE17:ALO1,SEC27:ADE17
ADE17:ALO1,ALO1:SIS1
ADE17:ALO1,YGR012W:ALO1
ADE17:ALO1,UIP4:ALO1
