PPI,piQTLs
GTR1_SLM4_MTX_5.FC,5
RET2_EMP70_MTX_5.FC,3
RET2_SNA3_MTX_5.FC,6
RET2_EMP47_MTX_5.FC,5
PMC1_CTR2_MTX_5.FC,19
PMC1_GTR2_MTX_5.FC,15
SNA4_GTR2_MTX_5.FC,10
SNA4_VAC8_MTX_5.FC,2
ERG11_ERV25_MTX_5.FC,3
ERG11_HYR1_MTX_5.FC,5
ERG11_MID2_MTX_5.FC,7
ERG11_ORM2_MTX_5.FC,9
SSH1_ERG11_MTX_5.FC,6
ERG11_PIS1_MTX_5.FC,11
ERG11_ERG5_MTX_5.FC,3
ERG11_ACF2_MTX_5.FC,9
ERG11_TPO4_MTX_5.FC,7
ERV25_UIP4_MTX_5.FC,4
ERV25_RBD2_MTX_5.FC,3
ERV25_EMP47_MTX_5.FC,6
ERV25_ORM2_MTX_5.FC,8
SSH1_ERV25_MTX_5.FC,8
ERV25_ERG5_MTX_5.FC,9
ERV25_PIS1_MTX_5.FC,2
ERG27_ACF2_MTX_5.FC,11
SSH1_ORM2_MTX_5.FC,8
SSH1_PIS1_MTX_5.FC,5
PLM2_SNA3_MTX_5.FC,4
TPO1_TCB2_MTX_5.FC,14
TPO1_TPO2_MTX_5.FC,15
FMP45_HNM1_MTX_5.FC,8
HNM1_ERG11_MTX_5.FC,13
HNM1_RBD2_MTX_5.FC,17
HNM1_MID2_MTX_5.FC,6
PLM2_HNM1_MTX_5.FC,28
HNM1_MAM33_MTX_5.FC,3
HNM1_TPO4_MTX_5.FC,3
HNM1_TPO1_MTX_5.FC,4
HNM1_TPO2_MTX_5.FC,3
FMP45_MEP1_MTX_5.FC,12
FMP45_MID2_MTX_5.FC,12
MID2_MAM33_MTX_5.FC,3
MID2_PIN2_MTX_5.FC,6
MID2_RSN1_MTX_5.FC,9
MID2_TPO4_MTX_5.FC,8
TPO1_MID2_MTX_5.FC,13
MID2_TPO2_MTX_5.FC,4
MID2_WSC2_MTX_5.FC,3
DHH1_LSM3_MTX_5.FC,4
SRO9_SGN1_MTX_5.FC,9
SRO9_DHH1_MTX_5.FC,10
ALO1_HYR1_MTX_5.FC,6
ADE17_HYR1_MTX_5.FC,28
ALO1_UIP4_MTX_5.FC,8
HUG1_ALO1_MTX_5.FC,8
ALO1_ADE17_MTX_5.FC,53
ADE17_GIS2_MTX_5.FC,15
HUG1_ADE17_MTX_5.FC,3
ADE17_PGM2_MTX_5.FC,24
HUG1_PGM2_MTX_5.FC,6
SRO9_GIS2_MTX_5.FC,3
