PPI,piQTLs
GTR1_SLM4_MTX_Metformin,5
RET2_EMP70_MTX_Metformin,3
RET2_SNA3_MTX_Metformin,3
RET2_EMP47_MTX_Metformin,4
PMC1_CTR2_MTX_Metformin,9
PMC1_GTR2_MTX_Metformin,15
SNA4_GTR2_MTX_Metformin,3
SNA4_VAC8_MTX_Metformin,3
ERG11_ERV25_MTX_Metformin,3
ERG11_HYR1_MTX_Metformin,8
ERG11_MID2_MTX_Metformin,6
ERG11_ORM2_MTX_Metformin,11
SSH1_ERG11_MTX_Metformin,7
ERG11_PIS1_MTX_Metformin,17
ERG11_ERG5_MTX_Metformin,20
ERG11_ACF2_MTX_Metformin,10
ERG11_TPO4_MTX_Metformin,6
ERV25_UIP4_MTX_Metformin,4
ERV25_RBD2_MTX_Metformin,2
ERV25_EMP47_MTX_Metformin,7
ERV25_ORM2_MTX_Metformin,39
SSH1_ERV25_MTX_Metformin,14
ERV25_ERG5_MTX_Metformin,5
ERV25_PIS1_MTX_Metformin,3
ERG27_ACF2_MTX_Metformin,13
SSH1_ORM2_MTX_Metformin,8
SSH1_PIS1_MTX_Metformin,5
PLM2_SNA3_MTX_Metformin,9
TPO1_TCB2_MTX_Metformin,14
TPO1_TPO2_MTX_Metformin,15
FMP45_HNM1_MTX_Metformin,8
HNM1_ERG11_MTX_Metformin,14
HNM1_RBD2_MTX_Metformin,15
HNM1_MID2_MTX_Metformin,21
PLM2_HNM1_MTX_Metformin,20
HNM1_MAM33_MTX_Metformin,21
HNM1_TPO4_MTX_Metformin,3
HNM1_TPO1_MTX_Metformin,3
HNM1_TPO2_MTX_Metformin,9
FMP45_MEP1_MTX_Metformin,6
FMP45_MID2_MTX_Metformin,11
MID2_MAM33_MTX_Metformin,3
MID2_PIN2_MTX_Metformin,6
MID2_RSN1_MTX_Metformin,11
MID2_TPO4_MTX_Metformin,3
TPO1_MID2_MTX_Metformin,12
MID2_TPO2_MTX_Metformin,12
MID2_WSC2_MTX_Metformin,3
DHH1_LSM3_MTX_Metformin,3
SRO9_SGN1_MTX_Metformin,23
SRO9_DHH1_MTX_Metformin,7
ALO1_HYR1_MTX_Metformin,7
ADE17_HYR1_MTX_Metformin,33
ALO1_UIP4_MTX_Metformin,8
HUG1_ALO1_MTX_Metformin,9
ALO1_ADE17_MTX_Metformin,37
ADE17_GIS2_MTX_Metformin,6
HUG1_ADE17_MTX_Metformin,4
ADE17_PGM2_MTX_Metformin,31
HUG1_PGM2_MTX_Metformin,7
SRO9_GIS2_MTX_Metformin,36
