label,PPI,Drug,MTX
GTR1_SLM4_noMTX_noDrug_avg_logratio_Fitness,GTR1_SLM4,noDrug,noMTX
GTR1_SLM4_MTX_noDrug_avg_logratio_Fitness,GTR1_SLM4,noDrug,MTX
GTR1_SLM4_noMTX_5-FC_avg_logratio_Fitness,GTR1_SLM4,5-FC,noMTX
GTR1_SLM4_MTX_5-FC_avg_logratio_Fitness,GTR1_SLM4,5-FC,MTX
GTR1_SLM4_noMTX_Fluconazole_avg_logratio_Fitness,GTR1_SLM4,Fluconazole,noMTX
GTR1_SLM4_MTX_Fluconazole_avg_logratio_Fitness,GTR1_SLM4,Fluconazole,MTX
GTR1_SLM4_noMTX_Metformin_avg_logratio_Fitness,GTR1_SLM4,Metformin,noMTX
GTR1_SLM4_MTX_Metformin_avg_logratio_Fitness,GTR1_SLM4,Metformin,MTX
GTR1_SLM4_noMTX_Trifluoperazine_avg_logratio_Fitness,GTR1_SLM4,Trifluoperazine,noMTX
GTR1_SLM4_MTX_Trifluoperazine_avg_logratio_Fitness,GTR1_SLM4,Trifluoperazine,MTX
SNA4_GTR2_noMTX_noDrug_avg_logratio_Fitness,SNA4_GTR2,noDrug,noMTX
SNA4_GTR2_MTX_noDrug_avg_logratio_Fitness,SNA4_GTR2,noDrug,MTX
SNA4_GTR2_noMTX_5-FC_avg_logratio_Fitness,SNA4_GTR2,5-FC,noMTX
SNA4_GTR2_MTX_5-FC_avg_logratio_Fitness,SNA4_GTR2,5-FC,MTX
SNA4_GTR2_noMTX_Fluconazole_avg_logratio_Fitness,SNA4_GTR2,Fluconazole,noMTX
SNA4_GTR2_MTX_Fluconazole_avg_logratio_Fitness,SNA4_GTR2,Fluconazole,MTX
SNA4_GTR2_noMTX_Metformin_avg_logratio_Fitness,SNA4_GTR2,Metformin,noMTX
SNA4_GTR2_MTX_Metformin_avg_logratio_Fitness,SNA4_GTR2,Metformin,MTX
SNA4_GTR2_noMTX_Trifluoperazine_avg_logratio_Fitness,SNA4_GTR2,Trifluoperazine,noMTX
SNA4_GTR2_MTX_Trifluoperazine_avg_logratio_Fitness,SNA4_GTR2,Trifluoperazine,MTX
