Condition,Correlation,p-value
GTR1_SLM4_noDrug_noMTX,0.6854601947742106,2.0677811932558386e-51
GTR1_SLM4_noDrug_MTX,0.8884599517903553,1.7795577587023472e-123
GTR1_SLM4_5-FC_noMTX,0.7346420688115296,1.8750984341192236e-62
GTR1_SLM4_5-FC_MTX,0.9112688021111296,2.193614356214152e-140
GTR1_SLM4_Fluconazole_noMTX,0.6835792007046103,4.948058931318963e-51
GTR1_SLM4_Fluconazole_MTX,0.8224544471675935,5.589695988644326e-90
GTR1_SLM4_Metformin_noMTX,0.510679023386293,2.2703843667361317e-25
GTR1_SLM4_Metformin_MTX,0.8225023631084435,5.350213791397523e-90
GTR1_SLM4_Trifluoperazine_noMTX,0.7409789824809871,4.670610873754963e-64
GTR1_SLM4_Trifluoperazine_MTX,0.7746796039876283,1.9006126209387247e-73
SNA4_GTR2_noDrug_noMTX,0.6410256501928788,3.652576119602878e-43
SNA4_GTR2_noDrug_MTX,0.9425200823905145,5.5514401799552364e-173
SNA4_GTR2_5-FC_noMTX,0.7501889769149395,1.7906857866326467e-66
SNA4_GTR2_5-FC_MTX,0.9319031497492221,3.429327019532817e-160
SNA4_GTR2_Fluconazole_noMTX,0.659062194680441,2.421872975742796e-46
SNA4_GTR2_Fluconazole_MTX,0.9021600522752262,3.899769023249967e-133
SNA4_GTR2_Metformin_noMTX,0.6107965598211609,2.7334544862364236e-38
SNA4_GTR2_Metformin_MTX,0.9088251600358594,2.2932174621111278e-138
SNA4_GTR2_Trifluoperazine_noMTX,0.6955463376049051,1.712499158666825e-53
SNA4_GTR2_Trifluoperazine_MTX,0.9242529838098122,3.382722737368026e-152
ERG11_HYR1_noDrug_noMTX,0.7321982291023942,7.571948527523495e-62
ERG11_HYR1_noDrug_MTX,0.8630673856983218,1.5727158028563588e-108
ERG11_HYR1_5-FC_noMTX,0.6493939994808842,1.3024219972383086e-44
ERG11_HYR1_5-FC_MTX,0.7831881060951431,4.428700496053421e-76
ERG11_HYR1_Fluconazole_noMTX,0.4947589138127521,1.0954489372975517e-23
ERG11_HYR1_Fluconazole_MTX,0.7279368633725468,8.325297306358043e-61
ERG11_HYR1_Metformin_noMTX,0.6993841697098817,2.6217424813570095e-54
ERG11_HYR1_Metformin_MTX,0.7304576993445645,2.0271285421435567e-61
ERG11_HYR1_Trifluoperazine_noMTX,0.733518397716368,3.569260164537085e-62
ERG11_HYR1_Trifluoperazine_MTX,0.7795075242089243,6.302289413359455e-75
DHH1_LSM3_noDrug_noMTX,0.7959041326976308,3.031115865239254e-80
DHH1_LSM3_noDrug_MTX,0.9421994212424502,1.463402867139785e-172
DHH1_LSM3_5-FC_noMTX,0.7229416587120391,1.3061666535567402e-59
DHH1_LSM3_5-FC_MTX,0.9179245359222838,3.3932176057469076e-146
DHH1_LSM3_Fluconazole_noMTX,0.567898855751016,3.269630902972895e-32
DHH1_LSM3_Fluconazole_MTX,0.8052869489590289,1.6366439365813981e-83
DHH1_LSM3_Metformin_noMTX,0.37455514115855426,1.8177302275855316e-13
DHH1_LSM3_Metformin_MTX,0.819509436837239,8.041405555210716e-89
DHH1_LSM3_Trifluoperazine_noMTX,0.6890381386244552,3.861339250473338e-52
DHH1_LSM3_Trifluoperazine_MTX,0.9201597356298012,2.937030458410521e-148
MID2_PIN2_noDrug_noMTX,0.6549247857160116,1.3568457385652402e-45
MID2_PIN2_noDrug_MTX,0.9183242066268763,1.4659860738181705e-146
MID2_PIN2_5-FC_noMTX,0.4368029731553465,2.9866037698662336e-18
MID2_PIN2_5-FC_MTX,0.9257232073305485,1.1485406018979742e-153
MID2_PIN2_Fluconazole_noMTX,0.3705184866296596,3.4380062501327646e-13
MID2_PIN2_Fluconazole_MTX,0.8060715765890413,8.563255741731939e-84
MID2_PIN2_Metformin_noMTX,0.783238088607598,4.2703193759695945e-76
MID2_PIN2_Metformin_MTX,0.9229126629615879,6.964948029619753e-151
MID2_PIN2_Trifluoperazine_noMTX,0.7559652765302943,4.817994192448727e-68
MID2_PIN2_Trifluoperazine_MTX,0.9416475213932316,7.660899087895227e-172
SRO9_SGN1_noDrug_noMTX,0.5372756196547448,2.1791258152722196e-28
SRO9_SGN1_noDrug_MTX,0.8856798058976701,1.1377604178819072e-121
SRO9_SGN1_5-FC_noMTX,0.7701722015756849,4.2386294228278774e-72
SRO9_SGN1_5-FC_MTX,0.9130333587816312,7.020526084726473e-142
SRO9_SGN1_Fluconazole_noMTX,0.44071335857607935,1.3808217921167373e-18
SRO9_SGN1_Fluconazole_MTX,0.7012147319491108,1.0598442201911537e-54
SRO9_SGN1_Metformin_noMTX,0.7428104535568231,1.5743930105028705e-64
SRO9_SGN1_Metformin_MTX,0.8551343431658511,1.8125482748887413e-104
SRO9_SGN1_Trifluoperazine_noMTX,0.7426589158795917,1.7232205299451006e-64
SRO9_SGN1_Trifluoperazine_MTX,0.9087785336809372,2.5027598963378746e-138
ERV25_EMP47_noDrug_noMTX,0.4803038260878841,3.1165138232169386e-22
ERV25_EMP47_noDrug_MTX,0.9405830453751465,1.7835575278631458e-170
ERV25_EMP47_5-FC_noMTX,0.49698247817386404,6.452456695468768e-24
ERV25_EMP47_5-FC_MTX,0.9344168929185281,5.049816824255604e-163
ERV25_EMP47_Fluconazole_noMTX,0.6710348119278355,1.4131890051852753e-48
ERV25_EMP47_Fluconazole_MTX,0.8079466709905764,1.7993198871474257e-84
ERV25_EMP47_Metformin_noMTX,0.7910805246217393,1.2460434031585246e-78
ERV25_EMP47_Metformin_MTX,0.9313270911549537,1.475412520588906e-159
ERV25_EMP47_Trifluoperazine_noMTX,0.6805628938691554,1.9776188601669543e-50
ERV25_EMP47_Trifluoperazine_MTX,0.9063945346424088,2.0571861236664478e-136
ERV25_ORM2_noDrug_noMTX,0.728974251849685,4.663996054287247e-61
ERV25_ORM2_noDrug_MTX,0.919716970292194,7.607801272317367e-148
ERV25_ORM2_5-FC_noMTX,0.772112761522338,1.123407686884691e-72
ERV25_ORM2_5-FC_MTX,0.892578963613201,3.0539928556310486e-126
ERV25_ORM2_Fluconazole_noMTX,0.5187160950241713,2.965108903880304e-26
ERV25_ORM2_Fluconazole_MTX,0.8360504224779515,1.2856623986230184e-95
ERV25_ORM2_Metformin_noMTX,0.7656376784653298,8.9725435647916e-71
ERV25_ORM2_Metformin_MTX,0.841472841854066,5.180120613551985e-98
ERV25_ORM2_Trifluoperazine_noMTX,0.8188673085062123,1.428904567383884e-88
ERV25_ORM2_Trifluoperazine_MTX,0.8819374531199817,2.594603095633201e-119
HNM1_ERG11_noDrug_noMTX,0.5226478060475607,1.0738081937762314e-26
HNM1_ERG11_noDrug_MTX,0.9365584223131351,1.5867515724553462e-165
HNM1_ERG11_5-FC_noMTX,0.7475112770750457,9.254477611186502e-66
HNM1_ERG11_5-FC_MTX,0.9322380845111645,1.4594710825351912e-160
HNM1_ERG11_Fluconazole_noMTX,0.3478654955007076,1.0457310073114498e-11
HNM1_ERG11_Fluconazole_MTX,0.8089045834494173,8.055532326884092e-85
HNM1_ERG11_Metformin_noMTX,0.5789404106638798,1.084980184642796e-33
HNM1_ERG11_Metformin_MTX,0.8980544885172966,4.25581222720646e-130
HNM1_ERG11_Trifluoperazine_noMTX,0.5117959173005983,1.7164981158393985e-25
HNM1_ERG11_Trifluoperazine_MTX,0.9259246457466138,7.186266317068874e-154
SNA4_VAC8_noDrug_noMTX,0.6741296034243384,3.5943047176931816e-49
SNA4_VAC8_noDrug_MTX,0.8460180689292381,4.3292146744855513e-100
SNA4_VAC8_5-FC_noMTX,0.7453547069689052,3.4225069719840817e-65
SNA4_VAC8_5-FC_MTX,0.9047184266645059,4.256350044719756e-135
SNA4_VAC8_Fluconazole_noMTX,0.6954950796103215,1.7556133900656982e-53
SNA4_VAC8_Fluconazole_MTX,0.8286115508477323,1.8016975651892166e-92
SNA4_VAC8_Metformin_noMTX,0.6892195181094196,3.544150301358219e-52
SNA4_VAC8_Metformin_MTX,0.7516770821844494,7.122877427581544e-67
SNA4_VAC8_Trifluoperazine_noMTX,0.7396572700894004,1.0179164531709687e-63
SNA4_VAC8_Trifluoperazine_MTX,0.8627663805580844,2.2666222458400235e-108
ERG27_ACF2_noDrug_noMTX,0.6205797763894004,8.267182860738243e-40
ERG27_ACF2_noDrug_MTX,0.8928629681811882,1.9500781623862856e-126
ERG27_ACF2_5-FC_noMTX,0.64856112092623,1.8234546732074983e-44
ERG27_ACF2_5-FC_MTX,0.9041394907045269,1.196316502836347e-134
ERG27_ACF2_Fluconazole_noMTX,0.577295535183397,1.816880634897477e-33
ERG27_ACF2_Fluconazole_MTX,0.8654346314036816,8.609907076947325e-110
ERG27_ACF2_Metformin_noMTX,0.4003577811140401,2.4951957930155533e-15
ERG27_ACF2_Metformin_MTX,0.9111229033621998,2.906391501495936e-140
ERG27_ACF2_Trifluoperazine_noMTX,0.6274944048930222,6.467495542308012e-41
ERG27_ACF2_Trifluoperazine_MTX,0.8790922865588097,1.4252239931082814e-117
HUG1_ADE17_noDrug_noMTX,0.7156905948645627,6.390682492041562e-58
HUG1_ADE17_noDrug_MTX,0.8456343795214815,6.522400013622333e-100
HUG1_ADE17_5-FC_noMTX,0.7404910923348673,6.230265225591967e-64
HUG1_ADE17_5-FC_MTX,0.8386350645676757,9.521518713658867e-97
HUG1_ADE17_Fluconazole_noMTX,0.4471526236447815,3.7923898516054665e-19
HUG1_ADE17_Fluconazole_MTX,0.8496084553695845,8.84784580493947e-102
HUG1_ADE17_Metformin_noMTX,0.7174454063193662,2.520799536513734e-58
HUG1_ADE17_Metformin_MTX,0.85970769108249,8.855552753695498e-107
HUG1_ADE17_Trifluoperazine_noMTX,0.7683022564543998,1.5051613576118225e-71
HUG1_ADE17_Trifluoperazine_MTX,0.8600365987739028,5.995963609820677e-107
SRO9_DHH1_noDrug_noMTX,0.7051667607791275,1.4645808940897073e-55
